_id,name,star,comment
658b9c6400c11fd0474165c4,ju47**,평점 별 5점 중,차이슨 고장나서 가격이 테파린데 싸길래 믿고 샀어요 사용해보니 성능이나 소리는 차이슨과 별차이 없어요 단점은 차이슨보다 쫌 무겁다는 정 장점은 고정대 설치 안해도 대는거 가만이 새워둘수 있는점 입니다.
658b9c6400c11fd0474165c6,moon*******,평점 별 5점 중,무게감이 있긴 하지만 헤드도 잘 돌아가고 바퀴가 잘 굴러서 익숙해지면 괜찮을것 같아요. 소음은 생각보단 크지만 가격대비 괜찮은것 같아요. 비싼 청소기들도  배터리 수명이 길지 않다고해서 저렴한거 사서 2~3년만 사용하면 괜찮을것 같아요.\n충전은 완충되면 계속 전원이 들어와있는게 아니고 전원차단이 되나봐요. 완충되고 나니 불이 꺼져있어요. 먼지통도  세척해서 사용할수 있어서 좋네요.
658b9c6400c11fd0474165c8,eunh*****,평점 별 5점 중,물건 아주좋아요 감사합니다 잘쓸께요 많이파세요 
658b9c6400c11fd0474165ca,suah****,평점 별 5점 중,타임 세일가로 저렴하게 구매했어요. 사용하기 편하고 성능도 만족합니다.^^
658b9c6400c11fd0474165cc,hany*****,평점 별 5점 중,딜 떠서 저렴하게 구매함\n먼지통과 바닥이 가까워  흡밉됨\n차이슨보다 훨씬 좋음
658b9c6400c11fd0474165ce,hjju******,평점 별 5점 중,이만한 가격에 간편하게 청소할수있어 좋아요\n롤러가 잘굴러가 밀며 흡입하긴좋으나 방향전환시 힘이들어가요 보통 힘이라면 누구나 할수있을듯해요
658b9c6400c11fd0474165d0,gusd*****,평점 별 5점 중,금액대비 좋아요 간편하고 잘쓸것같아요
658b9c6400c11fd0474165d2,버숙이,평점 별 5점 중,조립 신랑이 해주고 한번 써봤는데\n하중이 내려갔어도 2.3킬로라 무게감이 있긴\n해요 조금저렴한맛에 편하게 쓸수 있어 좋아요\n20만원짜리 차이슨 쓰다 바꿨어요\n차이슨은 첫날부터 무거워서 떨어뜨렸더니 먼지통\n뚜껑깨지고 롤 안돌아가고 뭔가 허접 돈대비 잘못\n사서 데여서 이번엔 차이슨 종류는 다 학을 떼고\n테팔것 사봤어요 차이슨처럼 부실하지 않았으면 좋？어요 혼자 직립할수 있어(세울수)좋아요
658b9c6400c11fd0474165d4,siwo****,평점 별 5점 중,가볍게  쓰기 괜찮아요. 거치대도 필요없구요.
658b9c6400c11fd0474165d6,guoz******,평점 별 5점 중,흡입력은 좋아요. 거치대 없이 세울수도 있어요. 소음이 생각보다 많이 나네요. 그리고 베터리가 엄청 빨리 없어져요. 오자마자 만땅 충전하고 한번 돌리고 그냥 3일을 세워놓았는데 4일째되는날 2분 돌렸는데 배터리기 다 나？네요. 
658b9c6400c11fd0474165d8,prow******,평점 별 5점 중,가격대비 완전 만족이요\n뭐 몇가지 단점이 있긴 하나\n이해합니다
658b9c6400c11fd0474165da,bloo*****,평점 별 5점 중,거치대 없이 아무데나 세우기좋구 디자인도 깔끔 사용법도 쉽고  먼지랑 아주 긴 머리카락도 흡입력짱\n아주 아주 만족해요 청소가 즐거워 지겠네요
658b9c6400c11fd0474165dc,jjmy******,평점 별 5점 중,처음 박스를 봤더니 사진이 빨간 청소기여서 놀랬지만 개봉해보니 제가 선택한게 맞더라구요\n필요한데 마침 세일하기에 구입했어요\n아직 사용전이지만 좋겠죠. 뭐...
